,UNIT: ,5 EAST,,HPPD: ,,10.79,,Effective HPPD: ,,,10.04,,Budgeted Volume: ,21.6,
,,,,,,,,,,,,,,,
,,Days,,,,,Nights,,,,,Hours Used,Hours Earned,Productivity,
,,7am-7pm,,,,,7pm-7am,,,,,,,,
,CENSUS,CN,RN/ LPN,NA,Sitters,UC,CN,RN/ LPN,NA,Sitters,UC,,,,
,25,1,5,3,,1,1,5,3,,1,240.0,251.1,104.6%,
,24,1,5,3,0,1,1,5,3,,1,240.0,241.1,100.4%,
,23,1,5,3,,1,1,5,2,,1,228.0,231.0,101.3%,
,22,1,5,2,,1,1,5,2,,1,216.0,221.0,102.3%,
,21,1,5,2,,1,1,4,2,,1,204.0,210.9,103.4%,
,20,1,4,2,,1,1,4,2,,1,192.0,200.9,104.6%,
,19,1,4,2,,1,1,4,2,,1,192.0,190.8,99.4%,
,18,1,4,2,,1,1,4,2,,1,192.0,180.8,94.2%,
,17,1,3,2,,1,1,3,2,,1,168.0,170.7,101.6%,
,16,1,3,2,,1,1,3,2,,1,168.0,160.7,95.7%,
,15,1,3,2,,1,1,3,2,,1,156.0,150.7,96.6%,
,14,1,3,2,,1,1,3,2,,1,156.0,140.6,90.1%,
,13,1,3,2,,0,1,3,2,,0,144.0,130.6,90.7%,
,12,1,2,2,,0,1,2,2,,0,120.0,120.5,100.4%,
,11,1,2,0,,0,1,2,0,,0,72.0,110.5,153.4%,
,10,1,1,0,,0,1,1,0,,0,48.0,100.4,209.2%,
,9,1,1,0,,0,1,1,0,,0,48.0,90.4,188.3%,
,8,1,1,0,,0,1,1,0,,0,48.0,80.4,167.4%,
,7,1,1,0,,0,1,1,0,,0,48.0,70.3,146.5%,
,6,1,1,0,,0,1,1,0,,0,48.0,60.3,125.5%,
,5,1,1,0,,0,1,1,0,,0,48.0,50.2,104.6%,
,4,1,1,0,,0,1,1,0,,0,48.0,40.2,83.7%,
,3,1,1,0,,0,1,1,0,,0,48.0,30.1,62.8%,
,2,1,1,0,,0,1,1,0,,0,48.0,20.1,41.8%,
,1,1,1,0,,0,1,1,0,,0,48.0,10.0,20.9%,
,,,,,,,,,,,,,,,
,,,FTE,HPPD Impact:,,,,,,,,,,,
,Sitter run rate: ,,,0.00,,,,,,,,,,,
,Manager: ,,1.0,0.26,,,,,,,,,,,
,Education: ,,0.51,0.13,,,,,,,,,,,
,Orientation: ,,1.32,0.35,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total: ,,2.83,0.75,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
