,UNIT: ,6 TOWER,,HPPD: ,,12.41,,Effective HPPD: ,,,11.61,,Budgeted Volume: ,20.7,
,,,,,,,,,,,,,,,
,,Days,,,,,Nights,,,,,Hours Used,Hours Earned,Productivity,
,,7am-7pm,,,,,7pm-7am,,,,,,,,
,CENSUS,CN,RN/ LPN,NA,Sitters,UC,CN,RN/ LPN,NA,Sitters,UC,,,,
,22,1,5,3,,1,1,5,3,,1,240.0,255.5,106.5%,
,21,1,5,2,,1,1,5,2,,1,216.0,243.9,112.9%,
,20,1,4,2,,1,1,4,2,,1,192.0,232.3,121.0%,
,19,1,4,2,,1,1,4,2,,1,192.0,220.7,114.9%,
,18,1,4,2,,1,1,4,2,,1,192.0,209.1,108.9%,
,17,1,4,2,,1,1,4,2,,1,192.0,197.4,102.8%,
,16,1,3,2,,1,1,3,2,,1,168.0,185.8,110.6%,
,15,1,3,2,,1,1,3,2,,1,168.0,174.2,103.7%,
,14,1,3,2,,1,1,3,2,,1,168.0,162.6,96.8%,
,13,1,3,1,,0,1,3,1,,0,120.0,151.0,125.8%,
,12,1,3,1,,0,1,3,1,,0,120.0,139.4,116.1%,
,11,1,2,0,,0,1,2,0,,0,72.0,127.8,177.4%,
,10,1,2,0,,0,1,2,0,,0,72.0,116.1,161.3%,
,9,1,2,0,,0,1,2,0,,0,72.0,104.5,145.2%,
,8,1,2,0,,0,1,2,0,,0,72.0,92.9,129.0%,
,7,1,2,0,,0,1,2,0,,0,72.0,81.3,112.9%,
,6,1,2,0,,0,1,2,0,,0,72.0,69.7,96.8%,
,5,1,1,0,,0,1,1,0,,0,48.0,58.1,121.0%,
,4,1,1,0,,0,1,1,0,,0,48.0,46.5,96.8%,
,3,1,1,0,,0,1,1,0,,0,48.0,34.8,72.6%,
,2,1,1,0,,0,1,1,0,,0,48.0,23.2,48.4%,
,1,1,1,0,,0,1,1,0,,0,48.0,11.6,24.2%,
,,,,,,,,,,,,,,,
,,,FTE,HPPD Impact:,,,,,,,,,,,
,Sitter run rate: ,,,0.00,,,,,,,,,,,
,Manager: ,,1.0,0.28,,,,,,,,,,,
,Education: ,,0.12,0.03,,,,,,,,,,,
,Orientation: ,,1.78,0.49,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total: ,,2.89,0.80,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
