,UNIT: ,6WEST,,HPPD: ,,10.53,,Effective HPPD: ,,,9.61,,Budgeted Volume: ,18.6,
,,,,,,,,,,,,,,,
,,Days,,,,,Nights,,,,,Hours Used,Hours Earned,Productivity,
,,7am-7pm,,,,,7pm-7am,,,,,,,,
,CENSUS,CN,RN/ LPN,NA,Sitters,UC,CN,RN/ LPN,NA,Sitters,UC,,,,
,20,1,4,2,,1,1,4,2,,1,192.0,192.2,100.1%,
,19,1,4,2,2,1,1,4,2,,0,204.0,182.6,89.5%,
,18,1,3,2,,1,1,3,2,,0,156.0,173.0,110.9%,
,17,1,3,2,,1,1,3,2,,0,156.0,163.4,104.7%,
,16,1,3,2,,1,1,3,2,,0,156.0,153.8,98.6%,
,15,1,3,2,,1,1,3,2,,0,156.0,144.2,92.4%,
,14,1,3,1,,1,1,3,2,,0,144.0,134.6,93.4%,
,13,1,3,1,,0,1,3,2,,0,132.0,124.9,94.7%,
,12,1,2,2,,0,1,2,1,,0,108.0,115.3,106.8%,
,11,1,2,0,,0,1,2,0,,0,72.0,105.7,146.8%,
,10,1,2,0,,0,1,2,0,,0,72.0,96.1,133.5%,
,9,1,2,0,,0,1,2,0,,0,72.0,86.5,120.1%,
,8,1,2,0,,0,1,2,0,,0,72.0,76.9,106.8%,
,7,1,2,0,,0,1,2,0,,0,72.0,67.3,93.4%,
,6,1,2,0,,0,1,2,0,,0,72.0,57.7,80.1%,
,5,1,1,0,,0,1,1,0,,0,48.0,48.1,100.1%,
,4,1,1,0,,0,1,1,0,,0,48.0,38.4,80.1%,
,3,1,1,0,,0,1,1,0,,0,48.0,28.8,60.1%,
,2,1,1,0,,0,1,1,0,,0,48.0,19.2,40.0%,
,1,1,1,0,,0,1,1,0,,0,48.0,9.6,20.0%,
,,,,,,,,,,,,,,,
,,,FTE,HPPD Impact:,,,,,,,,,,,
,Sitter run rate: ,,,0.00,,,,,,,,,,,
,Manager: ,,1.0,0.31,,,,,,,,,,,
,Education: ,,0.10,0.03,,,,,,,,,,,
,Orientation: ,,1.90,0.58,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total: ,,3.01,0.92,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
