,UNIT: ,3 EAST,,HPPD: ,,11.35,,Effective HPPD: ,,,10.60,,Budgeted Volume: ,23.5,
,,,,,,,,,,,,,,,
,,Days,,,,,Nights,,,,,Hours Used,Hours Earned,Productivity,
,,7am-7pm,,,,,7pm-7am,,,,,,,,
,CENSUS,CN,RN/ LPN,NA,Sitters,UC,CN,RN/ LPN,NA,Sitters,UC,,,,
,28,1,6,3,,1,1,6,3,,1,264.0,296.7,112.4%,
,27,1,6,3,,1,1,6,3,,1,264.0,286.1,108.4%,
,26,1,6,3,,1,1,6,3,,1,264.0,275.5,104.4%,
,25,1,6,3,,1,1,6,3,0.48,0,257.8,264.9,102.8%,
,24,1,6,3,,1,1,6,2,,0,240.0,254.3,106.0%,
,23,1,6,3,,1,1,6,2,,0,240.0,243.7,101.5%,
,22,1,5,3,,1,1,5,2,,0,216.0,233.1,107.9%,
,21,1,5,2,,1,1,5,2,,0,204.0,222.5,109.1%,
,20,1,5,2,,1,1,5,2,,0,204.0,211.9,103.9%,
,19,1,4,2,,1,1,4,2,,0,180.0,201.3,111.8%,
,18,1,4,2,2,1,1,4,2,,0,204.0,190.7,93.5%,
,17,1,4,2,,1,1,4,2,,0,180.0,180.1,100.1%,
,16,1,3,2,,1,1,3,2,,0,156.0,169.5,108.7%,
,15,1,3,2,,1,1,3,2,,0,156.0,158.9,101.9%,
,14,1,3,2,,1,1,3,2,,0,156.0,148.3,95.1%,
,13,1,3,1,,1,1,3,1,,0,132.0,137.7,104.4%,
,12,1,3,1,,1,1,3,1,,0,132.0,127.1,96.3%,
,11,1,2,1,,1,1,2,1,,0,108.0,116.6,107.9%,
,10,1,2,1,,1,1,2,1,,0,108.0,106.0,98.1%,
,9,1,2,1,,0,1,2,0,,0,84.0,95.4,113.5%,
,8,1,2,1,,0,1,2,0,,0,84.0,84.8,100.9%,
,7,1,2,0,,0,1,2,0,,0,72.0,74.2,103.0%,
,6,1,1,0,,0,1,1,0,,0,48.0,63.6,132.4%,
,5,1,1,0,,0,1,1,0,,0,48.0,53.0,110.4%,
,4,1,1,0,,0,1,1,0,,0,48.0,42.4,88.3%,
,3,1,1,0,,0,1,1,0,,0,48.0,31.8,66.2%,
,2,1,1,0,,0,1,1,0,,0,48.0,21.2,44.1%,
,1,1,1,0,,0,1,1,0,,0,48.0,10.6,22.1%,
,,,,,,,,,,,,,,,
,,,FTE,HPPD Impact:,,,,Sitters,88.78571429,,,,,,
,Sitter run rate: ,,1.10,,,,,,1.109821429,,,,,,
,Manager: ,,1.0,0.24,,,,,,,,,,,
,Education: ,,0.29,0.07,,,,,,,,,,,
,Orientation: ,,1.82,0.44,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total: ,,4.21,0.75,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
