,UNIT: ,5TOWER,,HPPD: ,,12.69,,Effective HPPD: ,,,11.47,,Budgeted Volume: ,19.2,
,,,,,,,,,,,,,,,
,,Days,,,,,Nights,,,,,Hours Used,Hours Earned,Productivity,
,,7am-7pm,,,,,7pm-7am,,,,,,,,
,CENSUS,CN,RN/ LPN,NA,Sitters,UC,CN,RN/ LPN,NA,Sitters,UC,,,,
,21,1,5,2,,1,1,5,2,,1,216.0,240.9,111.5%,
,20,1,5,2,,1,1,5,2,,1,216.0,229.4,106.2%,
,19,1,5,2,,1,1,5,2,,1,216.0,217.9,100.9%,
,18,1,4,2,,1,1,4,2,,1,192.0,206.5,107.5%,
,17,1,4,2,,1,1,4,2,,1,192.0,195.0,101.6%,
,16,1,4,2,,1,1,4,2,,1,192.0,183.5,95.6%,
,15,1,4,2,,1,1,4,2,,0,180.0,172.1,95.6%,
,14,1,3,2,,1,1,3,2,,0,156.0,160.6,102.9%,
,13,1,3,1,,0,1,3,1,,0,120.0,149.1,124.3%,
,12,1,3,1,,0,1,3,1,,0,120.0,137.6,114.7%,
,11,1,3,0,,0,1,3,0,,0,96.0,126.2,131.4%,
,10,1,2,0,,0,1,2,0,,0,72.0,114.7,159.3%,
,9,1,2,0,,0,1,2,0,,0,72.0,103.2,143.4%,
,8,1,2,0,,0,1,2,0,,0,72.0,91.8,127.5%,
,7,1,2,0,,0,1,2,0,,0,72.0,80.3,111.5%,
,6,1,2,0,,0,1,2,0,,0,72.0,68.8,95.6%,
,5,1,1,0,,0,1,1,0,,0,48.0,57.4,119.5%,
,4,1,1,0,,0,1,1,0,,0,48.0,45.9,95.6%,
,3,1,1,0,,0,1,1,0,,0,48.0,34.4,71.7%,
,2,1,1,0,,0,1,1,0,,0,48.0,22.9,47.8%,
,1,1,1,0,,0,1,1,0,,0,48.0,11.5,23.9%,
,,,,,,,,,,,,,,,
,,,FTE,HPPD Impact:,,,,,,,,,,,
,Sitter run rate: ,,,0.00,,,,,,,,,,,
,Manager: ,,1.0,0.30,,,,,,,,,,,
,Education: ,,0.47,0.14,,,,,,,,,,,
,Orientation: ,,2.64,0.78,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total: ,,4.11,1.22,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
