,UNIT: ,7HEART,,HPPD: ,,12.41,,Effective HPPD: ,,,11.48,,Budgeted Volume: ,14.4,
,,,,,,,,,,,,,,,
,,Days,,,,,Nights,,,,,Hours Used,Hours Earned,Productivity,
,,7am-7pm,,,,,7pm-7am,,,,,,,,
,CENSUS,CN,RN/ LPN,NA,Sitters,UC,CN,RN/ LPN,NA,Sitters,UC,,,,
,16,1,4,2,,1,1,4,2,,1,192.0,183.7,95.7%,
,15,1,4,2,,1,1,4,2,,0,180.0,172.2,95.7%,
,14,1,3,2,,1,1,3,2,,0,156.0,160.7,103.0%,
,13,1,3,2,,0,1,3,2,,0,144.0,149.3,103.6%,
,12,1,3,1,,0,1,3,1,,0,120.0,137.8,114.8%,
,11,1,3,1,,0,1,3,1,,0,120.0,126.3,105.2%,
,10,1,2,1,,0,1,2,1,,0,96.0,114.8,119.6%,
,9,1,2,1,,0,1,2,1,,0,96.0,103.3,107.6%,
,8,1,2,1,,0,1,2,0,,0,84.0,91.8,109.3%,
,7,1,2,0,,0,1,2,0,,0,72.0,80.4,111.6%,
,6,1,2,0,,0,1,2,0,,0,72.0,68.9,95.7%,
,5,1,1,0,,0,1,1,0,,0,48.0,57.4,119.6%,
,4,1,1,0,,0,1,1,0,,0,48.0,45.9,95.7%,
,3,1,1,0,,0,1,1,0,,0,48.0,34.4,71.8%,
,2,1,1,0,,0,1,1,0,,0,48.0,23.0,47.8%,
,1,1,1,0,,0,1,1,0,,0,48.0,11.5,23.9%,
,,,,,,,,,,,,,,,
,,,FTE,HPPD Impact:,,,,,,,,,,,
,Sitter run rate: ,,,0.00,,,,,,,,,,,
,Manager: ,,1.0,0.40,,,,,,,,,,,
,Education: ,,0.07,0.03,,,,,,,,,,,
,Orientation: ,,1.27,0.51,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total: ,,2.34,0.93,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
